"SMILES"
"O=C1CC2=CC=CC=C2O1"
"OCC(O)=O"
"C[N+](C)(C)CCOC(=O)C=C"
"CC1CCCCC1OC(C)=O"
"COC(=O)CCCCCCCCC(=O)OC"
"NC1=CC(=CC2=CC(=CC(O)=C12)S(O)(=O)=O)S(O)(=O)=O"
"CC(C)CCOCCC(C)C"
"ClCC(CCl)OP(=O)(OC(CCl)CCl)OC(CCl)CCl"
"NC1=CC=C(NC2=CC=CC=C2)C=C1"
"CC(C)(N=C=O)C1=CC(=CC=C1)C(C)(C)N=C=O"
"CCCCCCCCCCCC(=O)N(C)CC(O)=O"
"CSC(C)(C)SC"
"CCCO"
"CCC1(CO)COCOC1"
"O=C1CCCC1"
"CCCCCCCCCC1=CC=C(OCCOCCO)C=C1"
"CO[Si](CCCOCC1CO1)(OC)OC"
"OC1=C(Br)C=C(Br)C=C1Br"
"CC(C)CC(C)(O)CCC(C)(O)CC(C)C"
"C1COC=CC1"
"CCCCCCCCCCCCC(CO)CCCCCCCCCC"
"CCOC1=CC(C=O)=CC=C1O"
"[H]N=C(N)C(C)(C)N=NC(C)(C)C(N)=N[H]"
"COC1=CC=C(C)C=C1C(CCN(C(C)C)C(C)C)C1=CC=CC=C1"
"CC(C)=CCCC(C)(O)C=C"
"CC1=CC(NCCCN2C=CN=C2)=CC=C1N"
"CC(=C)C(O)=O"
"OC(=O)C1=CC=C(O1)C(O)=O"
"CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC"
"NC(CC(O)=O)C(O)=O"
"CC(C)CC(C)OC(=O)CC(C(=O)OC(C)CC(C)C)S(O)(=O)=O"
"CC1=CC=CC2=C1NN=N2"
"CC(=C)CCO"
"C[N+](C)(CCOC(=O)C=C)CC1=CC=CC=C1"
"CN(CCO)CCO"
"OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F"
"OC(=O)CS"
"CN1CCN(C)C1=O"
"NC(=O)C1=CC=CN=C1"
"CC(C)C(Cl)=O"
"OC(=O)CCS"
"CN(C)CCCN(C)C"
"C=CC(=O)OCCCOCC(COCCCOC(=O)C=C)OCCCOC(=O)C=C"
"CN1CN(C)CN(C)C1"
"CCOP(=O)(OCC)OCC"
"CC(O)COC(C)CO"
"CCCC(Cl)=O"
"OC(=O)CCCCCCCCCCCC(O)=O"
"NC1CCC(CC2CCC(N)CC2)CC1"
"CCCC[N+](CCCC)(CCCC)CCCC"
"COCCCN"
"S=C(NC1=CC=CC=C1)NC1=CC=CC=C1"
"CCC(=O)CC"
"CCCCC(CC)COC(=O)C(C)O"
"CCCOCC(C)O"
"CC(O)CN(CCCN(C)C)CC(C)O"
"CCOC(=O)C(=C)C#N"
"CCOC=C"
"CCNC(=S)NCC"
"CO[Si](CCCN=C=O)(OC)OC"
"CCOCCOCCOC(C)=O"
"CC(=C)C(N)=O"
"OC(=O)CCCCCCCCC=C"
"CCCC(C)C=O"
"CCCCCCC=O"
"CN(C)C(C)=O"
"[H]N=C(N)S(O)=O"
"CC(C)(C1CCCO1)C1CCCO1"
"CN(C)CCCN1CN(CCCN(C)C)CN(CCCN(C)C)C1"
"CN(C)C"
"CCOC(=O)CP(=O)(OCC)OCC"
"[H]N=C(NCCCCCCNC(NC(NC1=CC=C(Cl)C=C1)=N[H])=N[H])NC(NC1=CC=C(Cl)C=C1)=N[H]"
"CN1C=CN=C1C"
"CC(C)=CCCC(C)=CCO"
"BrC1=C(Br)C(Br)=C(COC(=O)C=C)C(Br)=C1Br"
"CN1CCCN(C)C1=O"
"NCCOCCN"
"CCCCCCOCCOCCO"
"CCCCNP(N)(N)=S"
"COCCOC(=O)C=C"
"OC(=O)C=O"
"O=C1C=CC(=O)N1C1=CC=CC=C1"
"NC1=CC=C(OC2=CC=C(N)C=C2)C=C1"
"NC1=CC=C(O)C(CC2=CC(N)=CC=C2O)=C1"
"CCCCCCCCCCCCCCO"
"CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(O)(=O)=O"
"CCCCCCCCCC(=O)N(C)C"
"CCNCC"
"OC1CCCCC1"
"OC(=O)CCCCCCCCCCCCC(O)=O"
"NC(=O)C=C"
"CCN1CCCCC1"
"O=CC1=CC=CC=C1"
"O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1"
"CC1=CC(O)=C(C=C1SC1=CC(=C(O)C=C1C)C(C)(C)C)C(C)(C)C"
"CCO[Si](C)(CCCN)OCC"
"CN1N=NC2=CC=CC=C12"
"O=CC1=CC=CO1"
"NCCO"
"CS(C)=O"
"CC(O)COC1=CC=CC=C1"
"COC(=O)OC"
"CCOC(=O)C=CC(=O)OCC"
"CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO"
"CC1CC(CC2CCC(N)C(C)C2)CCC1N"
"CC(=O)C(OOC(C(C)=O)C(C)=O)C(C)=O"
"CCCOC(=O)C(C)O"
"C1CN2CCN1CC2"
"CCC(C)=NO[Si](ON=C(C)CC)(ON=C(C)CC)ON=C(C)CC"
"CI"
"CCCCCCCCN"
"CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1"
"OS(=O)(=O)C1=CC=C(NC2=NC(Cl)=NC(Cl)=N2)C=C1"
"OC(=O)CCCC(O)=O"
"CC(C)N"
"CCCCNCCCC"
"CC(C)CCCCCCC1=CC=C(O)C=C1"
"C1=CC=NC=C1"
"CC(C)(C)C(Cl)=O"
"C=CN1CCCCCC1=O"
"CCOC(=O)C(N=NC1=CC=C(C=C1)[N+]([O-])=O)C(=O)C1=NN2C(S1)=NC(=O)C1=C2C=CC=C1"
"CC(C)C1CCC2C(CCC3C(C)(CO)CCCC23C)C1"
"CCCCCCCCO"
"ClCC1=CC=CC=C1"
"OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O"
"CC(O)C#CC(C)O"
"OC(=O)CCC(O)=O"
"CCCC(CC)CCCCCCCN"
"CC(=O)OO"
"COC(=O)CCCCCCCCC=C"
"CN(CCCN)CCCN"
"O=C1OC(=O)C2CC=CCC12"
"O=C1OCCO1"
"CC12CC(C=C1)C1C2C(=O)OC1=O"
"NC1=CC=C(F)C=C1"
"CCCC#N"
"CCCCCCCCCCCCCCCC(=O)NCC(O)=O"
"NC(O)=O"
"COC(C)=O"
"O=CN1CCOCC1"
"CN=C=S"
"COC1=CC=CC=C1O"
"CC1CCOC1"
"CC(COC(C)COC(=O)C=C)OCC(C)OC(=O)C=C"
"OC(=O)C1=CC=CC2=CC=CC=C12"
"CC12CCCC=C1C(=O)OC2=O"
"CCCCO"
"C[N+](C)(C)CC1CO1"
"CC(C)C(=O)OC(=O)C(C)C"
"COC1=CC=C2C=CC=CC2=C1"
"CC(O)CNCC(C)O"
"OC(=O)CCCCCCCCCC(O)=O"
"CC1=NC=CN1"
"CC(C)(C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1)C1=CC(Br)=C(OCC(Br)CBr)C(Br)=C1"
"CN1C=CN=C1"
"CC(=O)OCC(COC1=CC=CC=C1)OC(C)=O"
"ClC1=NC(Cl)=NC(Cl)=N1"
"CC(C)C1=CC=C(C)C=C1O"
"CCNCCO"
"CC(C)(C)CC(C)(C)OO"
"CC(O)COC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCC(C)O)C=C1"
"CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1"
"CCCCCCCCCCCCOS(O)(=O)=O"
"CO[Si](C)(CCCNCCN)OC"
"CCC(C)(C)O"
"CCC(COCCOC(=O)C=C)(COCCOC(=O)C=C)COCCOC(=O)C=C"
"COC(=O)CCC(=O)OC"
"COC1=CC(C=O)=CC=C1O"
"CCCCCOC1OC(C)C(O)C(O)C1O"
"CC1CC(C)(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C"
"CCC=O"
"OC(=O)C1=CC(=CC(=C1)C(O)=O)[N+]([O-])=O"
"CN(C)CCOCCN(C)CCO"
"CC(O)CN(C)C"
"CC1(C)SC2C(N)C(=O)N2C1C(O)=O"
"CCCCCCCCCCCCCCCCN(C)C"
"CCCCCCCCCC1=CC=C(OCC(O)=O)C=C1"
"CCCCCCCCOCCCCCCCC"
"CC(C)C1CCC(C)CC1O"
"C1CCNCC1"
"N1C=NN=C1"
"CC(C)CC(C)=O"
"CC(O)CN(CCCN(C)C)CCCN(C)C"
"CC(C)O"
"CCC(C)=NO[Si](C)(ON=C(C)CC)ON=C(C)CC"
"O=C(OOC(=O)C1=CC=CC=C1)C1=CC=CC=C1"
"CC1=CC(C)=C(O)C(=C1)C(C)(C)C"
"NCCCNCCCN"
"CCCCCCCCCCCCCCCCCCOCCC[N+](C)(C)C"
"OCC(O)COC1CCCCC1"
"CCC(C)C1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O"
"CC(C)(N=NC(C)(C)C#N)C#N"
"O=C1CCCCO1"
"BrCCBr"
"CN1CCCCC1"
"O=C1CCCCCO1"
"CC(=C)C(=O)OCCN1CCNC1=O"
"CO[Si](CCCNCCN)(OC)OC"
"CC(C)CCO"
"CCO[SiH](OCC)OCC"
"CCC(C)(CCC(C)C)C(O)=O"
"CC(C)CCCCCCCO"
"CCCCCCCCCCCCCCCCCCCCC=CCC=CCCCCCCCCCCCNCCCCCCCCCCCCCCCCCCCCC=CCC=CCCCCCCCCCCC"
"CCCCOCCO"
"CNC(=S)NN"
"OC(=O)C1=CC=CN=C1"
"CC(C)=NO"
"CCCCCCOC(CO)CO"
"COC(OC)OC"
"CN(C)CCCO"
"CCCCCCCCCCCCCNCCCCCCCCCCCCC"
"CC(C)CCCCCCCOC(=O)CC(C(=O)OCCCCCCCC(C)C)S(O)(=O)=O"
"OCCOC1=CC=CC=C1"
"OCC(CBr)(CBr)CBr"
"OC(COCCCCOCC(O)COC(=O)C=C)COC(=O)C=C"
"CC1=CC=C(C)C(O)=C1C"
"N1N=NC2=CC=CC=C12"
"C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C"
